,0
0,[]
1,['Nn']
2,[]
3,['H']
4,['N' 'H' 'Li']
5,['H' 'He' 'Li']
6,['N' 'H' 'He' 'Be']
7,['H' 'He' 'Be' 'B']
8,['He' 'Li' 'Be' 'B' 'C']
9,['He' 'Li' 'B' 'C']
10,['He' 'Li' 'Be' 'C' 'N']
11,['Li' 'Be' 'C' 'N' 'O']
12,['Li' 'Be' 'B' 'N' 'O']
13,['Be' 'B' 'N' 'O' 'F']
14,['Be' 'B' 'C' 'O' 'F']
15,['Be' 'B' 'C' 'O' 'F' 'Ne']
16,['Be' 'B' 'C' 'N' 'F' 'Ne']
17,['B' 'C' 'N' 'F' 'Ne' 'Na']
18,['B' 'C' 'N' 'F' 'Ne' 'Na']
19,['B' 'C' 'N' 'O' 'Ne' 'Na' 'Mg']
20,['B' 'C' 'N' 'O' 'F' 'Na' 'Mg']
21,['B' 'N' 'O' 'F' 'Na' 'Mg' 'Al']
22,['C' 'N' 'O' 'F' 'Na' 'Mg' 'Al' 'Si']
23,['N' 'O' 'F' 'Ne' 'Mg' 'Al' 'Si']
24,['N' 'O' 'F' 'Ne' 'Na' 'Al' 'Si']
25,['F' 'Ne' 'Na' 'Al' 'Si' 'P']
26,['O' 'F' 'Ne' 'Na' 'Al' 'Si' 'P' 'S']
27,['F' 'Ne' 'Na' 'Mg' 'Si' 'P' 'S']
28,['F' 'Ne' 'Na' 'Mg' 'Al' 'P' 'S']
29,['F' 'Ne' 'Na' 'Mg' 'Al' 'P' 'S' 'Cl']
30,['F' 'Ne' 'Na' 'Mg' 'Al' 'P' 'S' 'Cl' 'Ar']
31,['F' 'Ne' 'Na' 'Mg' 'Al' 'Si' 'S' 'Cl' 'Ar']
32,['Ne' 'Na' 'Mg' 'Al' 'Si' 'P' 'Cl' 'Ar']
33,['Ne' 'Na' 'Mg' 'Al' 'Si' 'P' 'Cl' 'Ar' 'K']
34,['Ne' 'Na' 'Mg' 'Al' 'Si' 'P' 'Cl' 'Ar' 'K' 'Ca']
35,['Na' 'Mg' 'Al' 'Si' 'P' 'S' 'Ar' 'K' 'Ca']
36,['Na' 'Mg' 'Al' 'Si' 'P' 'Cl' 'K' 'Ca']
37,['Na' 'Mg' 'Al' 'Si' 'P' 'S' 'Ar' 'K' 'Ca']
38,['Mg' 'Al' 'Si' 'P' 'S' 'Cl' 'K' 'Ca' 'Sc' 'Ti']
39,['Mg' 'Al' 'Si' 'P' 'S' 'Cl' 'Ar' 'Ca' 'Sc' 'Ti']
40,['Mg' 'Al' 'Si' 'P' 'S' 'Cl' 'K' 'Sc' 'Ti']
41,['Al' 'Si' 'P' 'S' 'Cl' 'Ar' 'Ca' 'Sc' 'Ti']
42,['Al' 'Si' 'P' 'S' 'Cl' 'Ar' 'K' 'Sc' 'Ti' 'V' 'Cr']
43,['Al' 'Si' 'P' 'S' 'Cl' 'Ar' 'K' 'Sc' 'Ti' 'V' 'Cr']
44,['Si' 'P' 'S' 'Cl' 'Ar' 'K' 'Sc' 'Ti' 'V' 'Cr' 'Mn']
45,['P' 'S' 'Cl' 'Ar' 'K' 'Ca' 'Ti' 'V' 'Cr' 'Mn' 'Fe']
46,['P' 'S' 'Cl' 'Ar' 'K' 'Sc' 'V' 'Cr' 'Mn' 'Fe']
47,['Cl' 'Ar' 'K' 'Ca' 'Sc' 'V' 'Cr' 'Mn' 'Fe']
48,['S' 'Cl' 'Ar' 'K' 'Ca' 'Sc' 'V' 'Cr' 'Mn' 'Fe' 'Co' 'Ni']
49,['Cl' 'Ar' 'K' 'Ca' 'Sc' 'V' 'Cr' 'Mn' 'Fe' 'Ni']
50,['Cl' 'Ar' 'K' 'Ca' 'Sc' 'V' 'Cr' 'Mn' 'Fe' 'Co' 'Ni']
51,['Cl' 'Ar' 'K' 'Ca' 'Sc' 'Ti' 'Cr' 'Mn' 'Fe' 'Co' 'Ni']
52,['Cl' 'Ar' 'K' 'Ca' 'Sc' 'Ti' 'V' 'Mn' 'Fe' 'Co' 'Ni']
53,['Ar' 'K' 'Ca' 'Sc' 'Ti' 'V' 'Mn' 'Fe' 'Co' 'Ni' 'Cu']
54,['K' 'Ca' 'Sc' 'Ti' 'V' 'Mn' 'Co' 'Ni' 'Cu' 'Zn']
55,['K' 'Ca' 'Sc' 'Ti' 'V' 'Cr' 'Fe' 'Co' 'Ni' 'Cu' 'Zn']
56,['K' 'Ca' 'Sc' 'Ti' 'V' 'Cr' 'Mn' 'Co' 'Ni' 'Cu' 'Zn']
57,['Ca' 'Sc' 'Ti' 'V' 'Cr' 'Mn' 'Co' 'Ni' 'Cu' 'Zn']
58,['Ca' 'Sc' 'Ti' 'V' 'Cr' 'Mn' 'Co' 'Cu' 'Zn']
59,['Sc' 'Ti' 'V' 'Cr' 'Mn' 'Fe' 'Ni' 'Cu' 'Zn' 'Ga' 'Ge']
60,['Ti' 'V' 'Cr' 'Mn' 'Fe' 'Co' 'Cu' 'Zn' 'Ga' 'Ge']
61,['Sc' 'Ti' 'V' 'Cr' 'Mn' 'Fe' 'Co' 'Cu' 'Zn' 'Ga' 'Ge']
62,['Ti' 'V' 'Cr' 'Mn' 'Fe' 'Co' 'Cu' 'Zn' 'Ga' 'Ge']
63,['Ti' 'V' 'Cr' 'Mn' 'Fe' 'Co' 'Ni' 'Zn' 'Ga' 'Ge' 'As']
64,['Ti' 'V' 'Cr' 'Mn' 'Fe' 'Co' 'Cu' 'Ga' 'Ge' 'As' 'Se']
65,['V' 'Cr' 'Mn' 'Fe' 'Co' 'Ni' 'Zn' 'Ga' 'Ge' 'As' 'Se']
66,['V' 'Cr' 'Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Ga' 'Ge' 'As' 'Se']
67,['V' 'Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Ga' 'Ge' 'As' 'Se']
68,['Cr' 'Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Ga' 'Ge' 'As' 'Se']
69,['Cr' 'Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ge' 'As' 'Se' 'Br' 'Kr']
70,['Cr' 'Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Se' 'Br' 'Kr']
71,['Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ge' 'As' 'Se' 'Br' 'Kr']
72,['Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Se' 'Br' 'Kr' 'Rb']
73,['Mn' 'Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Sr']
74,['Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Br' 'Kr' 'Rb' 'Sr']
75,['Fe' 'Co' 'Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'Se' 'Br' 'Kr' 'Rb' 'Sr']
76,['Co' 'Ni' 'Cu' 'Zn' 'Ga' 'As' 'Br' 'Kr' 'Rb' 'Sr' 'Y']
77,['Co' 'Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr']
78,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Br' 'Rb' 'Sr' 'Y' 'Zr']
79,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Se' 'Kr' 'Rb' 'Sr' 'Y' 'Zr']
80,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Br' 'Rb' 'Sr' 'Y' 'Zr']
81,['Cu' 'Zn' 'Ga' 'Ge' 'As' 'Se' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo']
82,['Ni' 'Cu' 'Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo']
83,['Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo']
84,['Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Y' 'Zr' 'Nb' 'Mo']
85,['Zn' 'Ga' 'Ge' 'As' 'Se' 'Br' 'Kr' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru']
86,['Ga' 'Ge' 'As' 'Se' 'Br' 'Rb' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru']
87,['Ga' 'Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Y' 'Zr' 'Nb' 'Mo' 'Tc']
88,['Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru']
89,['Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh']
90,['Ge' 'As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd']
91,['As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd']
92,['As' 'Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag']
93,['Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag']
94,['Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd']
95,['Se' 'Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd']
96,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In']
97,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In']
98,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In']
99,['Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn']
100,['Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn']
101,['Br' 'Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn']
102,['Kr' 'Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Ag' 'Cd' 'In' 'Sn']
103,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb']
104,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Rh' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te']
105,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te']
106,['Rb' 'Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'In' 'Sn' 'Sb' 'Te']
107,['Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Cd' 'In' 'Sn' 'Sb' 'Te']
108,['Sr' 'Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
109,['Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
110,['Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Ag' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
111,['Y' 'Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe']
112,['Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs']
113,['Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs']
114,['Zr' 'Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
115,['Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
116,['Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
117,"['Nb' 'Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba'
 'La']"
118,['Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
119,['Mo' 'Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba']
120,['Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La']
121,"['Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce'
 'Pr']"
122,['Tc' 'Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce']
123,['Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce']
124,['Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr']
125,"['Ru' 'Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr'
 'Nd']"
126,['Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd']
127,"['Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr'
 'Nd']"
128,"['Rh' 'Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd'
 'Pm']"
129,"['Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm'
 'Sm']"
130,"['Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm'
 'Eu']"
131,"['Pd' 'Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm'
 'Sm' 'Eu']"
132,"['Ag' 'Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm'
 'Eu']"
133,['Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Ba' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm']
134,"['Cd' 'In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu'
 'Gd']"
135,"['In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd'
 'Tb']"
136,['In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd']
137,['In' 'Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd']
138,['Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'La' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb']
139,"['Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'Ce' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb'
 'Dy']"
140,"['Sn' 'Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Pr' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb'
 'Dy' 'Ho']"
141,['Sb' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Nd' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho']
142,"['Sb' 'Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy'
 'Ho']"
143,"['Te' 'I' 'Xe' 'Cs' 'Ba' 'La' 'Ce' 'Pr' 'Pm' 'Sm' 'Eu' 'Gd' 'Tb' 'Dy' 'Ho'
 'Er']"
